Num,Result,Time,
4,2.28396e+12,0.00163115,
8,2.28396e+12,0.00342491,
16,2.28396e+12,0.00497083,
1,2.28396e+12,0.000498954,
2,2.28396e+12,0.000354506,
4,2.28396e+12,0.00178039,
8,2.28396e+12,0.0017314,
16,2.28396e+12,0.00288231,
1,2.28396e+12,0.000499273,
2,2.28396e+12,0.000320716,
4,2.28396e+12,0.00162747,
8,2.28396e+12,0.00337713,
16,2.28396e+12,0.00493587,
1,2.28396e+12,0.000503162,
2,2.28396e+12,0.000318559,
4,2.28396e+12,0.000412866,
8,2.28396e+12,0.00366339,
16,2.28396e+12,0.00661998,
1,2.28396e+12,0.00049964,
2,2.28396e+12,0.000318678,
4,2.28396e+12,0.00165613,
8,2.28396e+12,0.00346873,
16,2.28396e+12,0.00373289,
1,2.28396e+12,0.000498967,
2,2.28396e+12,0.000318253,
4,2.28396e+12,0.00106288,
8,2.28396e+12,0.00342723,
16,2.28396e+12,0.00459856,
1,2.28396e+12,0.000500303,
2,2.28396e+12,0.000366352,
4,2.28396e+12,0.00177498,
8,2.28396e+12,0.00229093,
16,2.28396e+12,0.00526051,
1,2.28396e+12,0.000524342,
2,2.28396e+12,0.000316055,
4,2.28396e+12,0.00163741,
8,2.28396e+12,0.00315439,
16,2.28396e+12,0.00618391,
1,2.28396e+12,0.000502028,
2,2.28396e+12,0.000317916,
4,2.28396e+12,0.000495493,
8,2.28396e+12,0.0036543,
16,2.28396e+12,0.0042015,
1,2.28396e+12,0.000499493,
2,2.28396e+12,0.000347098,
4,2.28396e+12,0.00184399,
8,2.28396e+12,0.00171141,
16,2.28396e+12,0.00641046,
1,2.28396e+12,0.000500662,
2,2.28396e+12,0.000319976,
4,2.28396e+12,0.0016435,
8,2.28396e+12,0.00232927,
16,2.28396e+12,0.00627619,
1,2.28396e+12,0.000499196,
2,2.28396e+12,0.00038546,
4,2.28396e+12,0.00184495,
8,2.28396e+12,0.0022339,
16,2.28396e+12,0.00403973,
1,2.28396e+12,0.000500495,
2,2.28396e+12,0.000350833,
4,2.28396e+12,0.00185686,
8,2.28396e+12,0.00229292,
16,2.28396e+12,0.00400875,
1,2.28396e+12,0.000500545,
2,2.28396e+12,0.000320889,
4,2.28396e+12,0.000486819,
8,2.28396e+12,0.00388004,
16,2.28396e+12,0.00400265,
1,2.28396e+12,0.000502616,
2,2.28396e+12,0.000322655,
4,2.28396e+12,0.000557799,
8,2.28396e+12,0.00345066,
16,2.28396e+12,0.00631473,
1,2.28396e+12,0.000390293,
2,2.28396e+12,0.000263991,
4,2.28396e+12,0.00164773,
8,2.28396e+12,0.000733856,
16,2.28396e+12,0.00523973,
1,2.28396e+12,0.000406075,
2,2.28396e+12,0.00026416,
4,2.28396e+12,0.00163589,
8,2.28396e+12,0.00147583,
16,2.28396e+12,0.00782262,
1,2.28396e+12,0.000388816,
2,2.28396e+12,0.000256596,
4,2.28396e+12,0.000659723,
8,2.28396e+12,0.00355612,
16,2.28396e+12,0.00436844,
1,2.28396e+12,0.000385301,
2,2.28396e+12,0.000257242,
4,2.28396e+12,0.000551928,
8,2.28396e+12,0.00359291,
16,2.28396e+12,0.00430409,
1,2.28396e+12,0.000408208,
2,2.28396e+12,0.000276852,
4,2.28396e+12,0.000503499,
8,2.28396e+12,0.00336994,
16,2.28396e+12,0.00244742,
1,2.28396e+12,0.000376862,
2,2.28396e+12,0.000257524,
4,2.28396e+12,0.00164012,
8,2.28396e+12,0.000862321,
16,2.28396e+12,0.00407569,
1,2.28396e+12,0.000376306,
2,2.28396e+12,0.000257934,
4,2.28396e+12,0.000668054,
8,2.28396e+12,0.0033267,
16,2.28396e+12,0.00688775,
1,2.28396e+12,0.000385176,
2,2.28396e+12,0.000277279,
4,2.28396e+12,0.00174579,
8,2.28396e+12,0.00201114,
16,2.28396e+12,0.00264424,
